source_name,team_id,source_id,valid_from,valid_to,notes
South Africa,rsa,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Canada,can,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Germany,ger,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Paraguay,par,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Netherlands,ned,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Morocco,mar,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Brazil,bra,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Japan,jpn,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
France,fra,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Sweden,swe,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Cote d'Ivoire,civ,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Côte d'Ivoire,civ,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Ivory Coast,civ,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Norway,nor,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Mexico,mex,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Ecuador,ecu,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
England,eng,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Congo DR,cod,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
DR Congo,cod,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Democratic Republic of the Congo,cod,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
USA,usa,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
United States,usa,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Bosnia and Herzegovina,bih,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Belgium,bel,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Senegal,sen,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Portugal,por,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Croatia,cro,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Spain,esp,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Austria,aut,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Switzerland,sui,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Algeria,dza,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Argentina,arg,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Cabo Verde,cpv,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Cape Verde,cpv,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Colombia,col,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Ghana,gha,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Australia,aus,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
Egypt,egy,wikipedia_2026_knockout_stage;footballratings_mirror,,,Manual alias for Stage 6.2 knockout fixture and rating source normalization.
